userWallet,credit_score,first_txn,last_txn,total_txns,unique_actions,unique_protocols,unique_networks,activity_span_days,cluster
0x00000000001accfa9cef68cf5371a23025b6d4b6,500.0,1629178166,1629178166,1,1,1,1,1,1
0x000000000051d07a4fb3bd10121a343d85818da6,500.0,1621525013,1621525013,1,1,1,1,1,2
0x000000000096026fb41fc39f9875d164bd82e2dc,500.0,1627118913,1627773318,2,1,1,1,8,1
0x0000000000e189dd664b9ab08a33c4839953852c,500.0,1618845797,1630019716,17,1,1,1,130,0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,512.0,1619040510,1630520124,399,4,1,1,133,0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,903.0,1623505777,1626899584,25,4,1,1,40,0
0x000000003853fcedcd0355fec98ca3192833f00b,500.0,1627797709,1628479336,8,1,1,1,8,1
0x000000003ce0cf2c037493b1dc087204bd7f713e,513.0,1619880579,1630551109,492,4,1,1,124,0
0x000000007858e6f2668e1e06111cfa24403a5466,500.0,1622940459,1622940459,1,1,1,1,1,2
0x00000001a0f57e850c9db68b4a9bc34677437c5c,500.0,1627011681,1627011681,1,1,1,1,1,2
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,903.0,1619794594,1622443289,69,4,1,1,31,0
0x00000029ff545c86524ade7caf132527707948c4,900.0,1618366710,1618548540,47,4,1,1,3,0
0x00000087c4cebffb95746d1935de7fbcab092f40,426.0,1621917729,1630601558,250,4,1,1,101,0
0x000000e28faa823d5b53ff6c2922c28335840375,724.0,1618716573,1630571172,297,4,1,1,138,0
0x000006eee6e39015cb523aebdd4d0b1855aba682,904.0,1618414131,1621981969,28,5,1,1,42,0
0x00000a9c78912badb92d73b6ed26456e11def5eb,500.0,1627211419,1627211419,1,1,1,1,1,2
0x00001bc47f0973f794f79c16121cee879e272d6a,500.0,1624532577,1628593748,4,1,1,1,48,1
0x00002b503a75998c97508916a74fdb41934fa030,730.0,1619765397,1630593178,147,4,1,1,126,0
0x0000897253cc85f7547317eb2080b36b3255687a,500.0,1629140281,1629443943,2,2,1,1,4,1
0x0000b252c943089fbba5554a1d196ef79bc77e4f,500.0,1627203451,1627203451,1,1,1,1,1,2
0x0000ce08fa224696a819877070bf378e8b131acf,207.0,1620256203,1626803589,14,3,1,1,76,0
0x00010a708585ba4812a1c5976182626c75cb7a6b,808.0,1623308418,1630178589,29,4,1,1,80,0
0x00016fc0c9f7620e920e1423fd455f9574f48025,500.0,1626534982,1626676823,2,1,1,1,2,2
0x0002761e848b24046a53d494847b11a3e1d36b09,500.0,1626505373,1626505373,1,1,1,1,1,2
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,500.0,1626136491,1626753715,2,1,1,1,8,2
0x0003816b25fd3d6c112eb65c089760fa3f791947,900.0,1621845439,1621845587,4,4,1,1,1,0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,301.0,1621112248,1629825131,37,3,1,1,101,0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,500.0,1620883152,1620883236,2,2,1,1,1,2
